seed,method,frobenius,mmd,intra_similarity,inter_similarity,separation_ratio
0,Quantum,0.8965961249849645,0.46178292675961896,0.14362934413059772,0.03700760840725792,3.881076084570096
0,Classical,0.8998334083170135,0.572255490540039,0.17060619357967377,0.006868020353063453,24.84066493215069
1,Quantum,0.8965412083617729,0.46009355016897896,0.14313085225593683,0.037287814802389456,3.838542237525748
1,Classical,0.8994948306863905,0.5717785892361245,0.17019404613718875,0.006728668582762391,25.293866502579903
2,Quantum,0.896947581077907,0.45967653946577053,0.1432102135830989,0.03755895311548584,3.8129447578613425
2,Classical,0.898657929894207,0.5718427950116487,0.17021749168736472,0.006715400583997471,25.34733234315456
3,Quantum,0.8924695348346762,0.45963024410633746,0.14299690811819965,0.03736692746957397,3.8268307728349726
3,Classical,0.8963059358364956,0.5711223684320674,0.1698780076724468,0.006787627810719723,25.02759596700015
4,Quantum,0.8968599518964345,0.4607885784907313,0.14337371935819732,0.0372106623244429,3.853027874523124
4,Classical,0.8996407437106537,0.5718873725162561,0.1703230109842947,0.006795427562521157,25.06435513645381
5,Quantum,0.8922335492796668,0.4597257874099826,0.14277040249649461,0.03709650269163036,3.8486216205031942
5,Classical,0.8965271332252381,0.5707930127385713,0.16977527980956073,0.006872948113973296,24.701958425860226
6,Quantum,0.8936206320526201,0.4590856138481606,0.14272011553337355,0.03734031511220235,3.8221454455703596
6,Classical,0.8968471372659257,0.5711553733773107,0.16985851021252554,0.00674927994363792,25.16690822912065
7,Quantum,0.8910776130779166,0.4560849340265355,0.14173810799710362,0.03773137447410902,3.7565052899553915
7,Classical,0.8941424576313703,0.569258050537672,0.16880064099255201,0.0067732769415766335,24.92156177910271
8,Quantum,0.8923898879873872,0.45847098384640517,0.14264714694908723,0.037549325434541876,3.798927014223239
8,Classical,0.8968106946029267,0.5709534064227045,0.16983049049994714,0.006836594347102103,24.84138748554908
9,Quantum,0.89855725616906,0.4601241421949681,0.14373186992409492,0.037874756808767306,3.7949252178716937
9,Classical,0.9006531251512839,0.5719768841087938,0.17047138975733633,0.0068926117799340825,24.732480801688588
