Component,Scaled_Variance,Corr_with_SI_Final
DCN_MSE (Normalized),0.19612272083759308,0.8937261003973114
PQKR_Dist (Normalized),0.1785846463434332,0.5552431108710514
Koopman_Rad (Normalized),0.053821135357276374,0.32572761157823504
