Metric,Mean,Std,95% CI ±
Mean_SI_H,0.07516250759363174,0.0008522857096977532,0.0005282521608860857
Mean_SI_F,0.1724453568458557,0.023479614406824112,0.014552816299518934
MMD_Quantum,0.48078239443953696,0.0011252778848301719,0.0006974544588692758
DCN_MSE_H,0.004096475429832935,0.00029201421421021223,0.00018099229688592352
DCN_MSE_F,0.007688146084547043,0.0007920781499706209,0.0004909351228606052
