SNR (dB),Frob,MMD,SI_Separation
Clean,1.011839708170242,0.4808644643597538,0.14457321
20,1.0172702968201475,0.4814319108303937,0.03431706
10,1.0311645162473795,0.44302700597952893,-0.114147946
5,0.9709843995079332,0.4348864245676761,-0.12643352
