Dataset,Type,Frobenius Divergence,Quantum MMD
Case Western (CWRU),Snapshot (Artificial Fault),0.8952,0.4594
NASA IMS (Run-to-Failure),Temporal Striding (Natural Wear),0.9922,0.0000
