Method,Frobenius Divergence (Mean ± Std),MMD (Mean ± Std),p-value (Quantum vs Classical)
Classical RBF,0.8979 ± 0.0020,0.5713 ± 0.0008,N/A
Projected Quantum,0.8947 ± 0.0025,0.4595 ± 0.0014,<0.01 (both metrics)
