Model ID,Components,Frob,MMD,Intra,Inter,Sep_Ratio
A,mrDMD only,1.0118864158699992,0.5909673641305688,0.24543390648219096,0.0514648451967361,4.768961372648657
B,mrDMD + PQKR,1.0111572455652336,0.47995011270733334,0.21185616340967225,0.07647129174295234,2.7704009030969208
C,mrDMD + PQKR + DCN,0.003412566613405943,0.059999018907547,0.9971972703933716,0.9953254461288452,1.0018806457519531
D,mrDMD + PQKR + DCN + SI,0.18349654972553253,0.28594735264778137,0.8837695121765137,0.8399063348770142,1.0522239208221436
