Metric,Quantum_Mean,Quantum_Std,Classical_Mean,Classical_Std,Effect_Size_D
Frobenius Divergence,0.8947293339722405,0.002495072446256995,0.8978913396321506,0.0019571709604359654,-1.3377911589476337
MMD,0.45954633003174894,0.0014347457989415046,0.5713023342921189,0.0008269795019100735,-90.54041107553063
Intra Similar,0.07149743401730921,0.03711746109737115,0.08499775306664452,0.05298816967377058,
Inter Similar,0.0374024240640401,0.00026112843914667357,0.006801985601928823,5.9607645591299435e-05,
Separation Ratio,3.8233546315439164,0.03328218333357426,24.993811160266038,0.213651395493575,
