Metric,Quantum_Mean,Quantum_Std,Quantum_95CI,Classical_Mean,Classical_Std,Classical_95CI,p_value_vs_classical
Frobenius Divergence,0.8947293339722405,0.002495072446256995,0.0015464619240308322,0.8978913396321506,0.0019571709604359654,0.001213067129042121,0.007830589488292204
MMD,0.45954633003174894,0.0014347457989415046,0.000889264659250578,0.5713023342921189,0.0008269795019100735,0.0005125672056442502,1.1225427858547275e-31
Intra Similarity (H),0.06876447142836843,0.00029893524153092824,0.00018528198228153742,0.0640220358195532,0.00019931640591797965,0.000123537588276938,
Intra Similarity (F),0.21722526464086842,0.0011200105347339258,0.0006941897214558974,0.2759689764470249,0.0010846452453351374,0.0006722700879921065,
Inter Similarity,0.0374024240640401,0.00026112843914667357,0.00016184908339144012,0.006801985601928823,5.9607645591299435e-05,3.694520150160568e-05,
Separation Ratio,3.8233546315439164,0.03328218333357426,0.020628510948128488,24.993811160266038,0.213651395493575,0.13242250686649376,
Silhouette,0.10896081900570738,0.0006723627683357579,0.00041673476132007836,0.16432545008806748,0.0004784543812222941,0.0002965490978251934,
Davies-Bouldin,2.742003279478497,3.7155169009665004e-16,2.3029012340132646e-16,1.1298047300286496,0.0,0.0,
Calinski-Harabasz,4.923712618297058,7.944109290391273e-16,4.923809950432318e-16,25.54276814971694,0.0,0.0,
